"nid","published","created","changed","URL","Name of Institution","NK Import ID","Index Herbariorum Record","Institutional Code/Acronym","Additional Institution Names","Institutional Discipline","URL for main institutional website","URL for institutional specimen catalog","URL for institutional webservices","Institutional LSID","Cool URI","Status of Institution: Active?","Institutional Governance","Institution Type","Description of Institution","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Latitude","Longitude","Primary Contact","CITES permit number","Date herbarium was founded","Geographic coverage of herbarium","Taxonomic coverage of herbarium","Number of specimens in herbarium"
"24872","Yes","30 June 2016 - 10:30am EDT","30 June 2016 - 12:35pm EDT","http://usfsc.grscicoll.org/institution/doinps-springfield-armory-national-historic-site","DOI/NPS, Springfield Armory National Historic Site",,"No","SPAR",,,"www.nps.gov/spar",,,,"http://usfsc.grscicoll.org/cool/nepd-h7hz","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","One Armory Square","Suite 2",,"Springfield","MA","01105","USA",,,,,,,,,,"24642",,,,,
"24873","Yes","30 June 2016 - 10:32am EDT","30 June 2016 - 12:35pm EDT","http://usfsc.grscicoll.org/institution/doinps-steamtown-national-historic-site","DOI/NPS, Steamtown National Historic SIte",,"No","STEA",,,"www.nps.gov/stea",,,,"http://usfsc.grscicoll.org/cool/rdw5-6352","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","150 South Washington Avenue",,,"Scranton","PA","18503","USA",,,,,,,,,,"24642",,,,,
"24874","Yes","30 June 2016 - 10:34am EDT","30 June 2016 - 12:34pm EDT","http://usfsc.grscicoll.org/institution/doinps-statue-liberty-national-monument","DOI/NPS, Statue of Liberty National Monument",,"No","STLI",,,"www.nps.gov/stli",,,,"http://usfsc.grscicoll.org/cool/9bte-1j8m","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","Liberty Island",,,"New York","NY","10004","USA",,,,,,,,,,"24642",,,,,
"24875","Yes","30 June 2016 - 10:39am EDT","30 June 2016 - 12:34pm EDT","http://usfsc.grscicoll.org/institution/doinps-theodore-roosevelt-birthplace-national-historic-site","DOI/NPS, Theodore Roosevelt Birthplace National Historic Site",,"No","THRB",,,"www.nps.gov/thrb",,,,"http://usfsc.grscicoll.org/cool/s2fq-qinv","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","28 East 20th Street",,,"New York","NY","10003","USA",,,,,,,,,,"24642",,,,,
"24876","Yes","30 June 2016 - 10:42am EDT","30 June 2016 - 12:34pm EDT","http://usfsc.grscicoll.org/institution/doinps-theodore-roosevelt-inaugural-national-historic-site","DOI/NPS, Theodore Roosevelt Inaugural National Historic Site",,"No","THRI",,,"www.nps.gov/thri",,,,"http://usfsc.grscicoll.org/cool/j3s6-vzxj","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","641 Delaware Avenue",,,"Buffalo","NY","14202","USA",,,,,,,,,,"24642",,,,,
"24877","Yes","30 June 2016 - 10:44am EDT","30 June 2016 - 12:33pm EDT","http://usfsc.grscicoll.org/institution/doinps-thomas-stone-national-historic-site","DOI/NPS, Thomas Stone National Historic Site",,"No","THST",,,"www.nps.gov/thst",,,,"http://usfsc.grscicoll.org/cool/vp0q-gp5t","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","6655 Rose Hill Road",,,"Port Tobacco","MD","20677","USA",,,,,,,,,,"24642",,,,,
"24878","Yes","30 June 2016 - 10:47am EDT","30 June 2016 - 12:33pm EDT","http://usfsc.grscicoll.org/institution/doinps-upper-delaware-scenic-recreational-river","DOI/NPS, Upper Delaware Scenic & Recreational  River",,"No","UPDE",,,"www.nps.gov/upde",,,,"http://usfsc.grscicoll.org/cool/kxpk-44vp","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","274 River Road",,,"Beach Lake","PA","18405","USA",,,,,,,,,,"24642",,,,,
"24879","Yes","30 June 2016 - 10:49am EDT","30 June 2016 - 12:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-valley-forge-national-historical-park","DOI/NPS, Valley Forge National Historical Park",,"No","VAFO",,,"www.nps.gov/vafo",,,,"http://usfsc.grscicoll.org/cool/jy1z-2ktf","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","1400 North Outer Line Drive",,,"King of Prussia","PA","19406","USA",,,,,,,,,,"24642",,,,,
"24880","Yes","30 June 2016 - 10:51am EDT","30 June 2016 - 12:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-vanderbilt-mansion-national-historic-site","DOI/NPS, Vanderbilt Mansion National Historic Site",,"No","VAMA",,,"www.nps.gov/vama",,,,"http://usfsc.grscicoll.org/cool/qh4e-h079","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","4097 Albany Post Road",,,"Hyde Park","NY","12538","USA",,,,,,,,,,"24642",,,,,
"24881","Yes","30 June 2016 - 10:53am EDT","30 June 2016 - 12:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-weir-farm-national-historic-site","DOI/NPS, Weir Farm National Historic Site",,"No","WEFA",,,"www.nps.gov/wefa",,,,"http://usfsc.grscicoll.org/cool/h5j0-bs98","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","735 Nod Hill Road",,,"Wilton","CT","06897","USA",,,,,,,,,,"24642",,,,,
"24882","Yes","30 June 2016 - 10:55am EDT","30 June 2016 - 12:31pm EDT","http://usfsc.grscicoll.org/institution/doinps-womens-rights-national-historical-park","DOI/NPS, Women's Rights National Historical Park",,"No","WORI",,,"www.nps.gov/wori",,,,"http://usfsc.grscicoll.org/cool/0fv6-vb6q","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","136 Fall Street",,,"Seneca Falls","NY","13148","USA",,,,,,,,,,"24642",,,,,
"24883","Yes","30 June 2016 - 11:01am EDT","11 July 2016 - 9:19am EDT","http://usfsc.grscicoll.org/institution/doinps-abraham-lincoln-birthplace-national-historical-park","DOI/NPS, Abraham Lincoln Birthplace National Historical Park",,"No","ABLI",,,"www.nps.gov/abli",,,,"http://usfsc.grscicoll.org/cool/qk63-5g5g","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","2995 Lincoln Farm Road",,,"Hodgenville","KY","42748","USA",,,,,,,,,,"24642",,,,,
"24884","Yes","30 June 2016 - 11:10am EDT","30 June 2016 - 12:28pm EDT","http://usfsc.grscicoll.org/institution/doinps-andersonville-national-historic-site","DOI/NPS, Andersonville National Historic Site",,"No","ANDE",,,"www.nps.gov/ande",,,,"http://usfsc.grscicoll.org/cool/c7qs-cysv","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","Andersonville National Cemetery","National Prisoner of War Museum","496 Cemetery Road","Andersonville","GA","31711","USA",,,,,,,,,,"24642",,,,,
"24885","Yes","30 June 2016 - 11:24am EDT","30 June 2016 - 12:28pm EDT","http://usfsc.grscicoll.org/institution/doinps-andrew-johnson-national-historic-site","DOI/NPS, Andrew Johnson National Historic Site",,"No","ANJO",,,"www.nps.gov/anjo",,,,"http://usfsc.grscicoll.org/cool/qwk2-ssdb","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","121 Monument Avenue",,,"Greeneville","TN","37743","USA",,,,,,,,,,"24642",,,,,
"24886","Yes","30 June 2016 - 11:29am EDT","30 June 2016 - 12:27pm EDT","http://usfsc.grscicoll.org/institution/doinps-big-cypress-national-preserve","DOI/NPS, Big Cypress National Preserve",,"No","BICY",,,"www.nps.gov/bicy",,,,"http://usfsc.grscicoll.org/cool/553w-83xv","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","33100 Tamiami Trail East",,,"Ochopee","FL","34141","USA",,,,,,,,,,"24642",,,,,
"24887","Yes","30 June 2016 - 11:35am EDT","30 June 2016 - 12:26pm EDT","http://usfsc.grscicoll.org/institution/doinps-biscane-national-park","DOI/NPS, Biscane National Park",,"No","BISC",,,"www.nps.gov/bisc",,,,"http://usfsc.grscicoll.org/cool/1z4x-g5fe","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","9700 SW 328th Street",,,"Homestead","FL","33033","USA",,,,,,,,,,"24642",,,,,
"24888","Yes","30 June 2016 - 11:37am EDT","30 June 2016 - 12:26pm EDT","http://usfsc.grscicoll.org/institution/doinps-big-south-fork-national-river-recreation-area","DOI/NPS, Big South Fork National River & Recreation Area",,"No","BISO",,,"www.nps.gov/biso",,,,"http://usfsc.grscicoll.org/cool/3pnw-qkvf","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","4564 Leatherwood Road",,,"Oneida","TN","37841","USA",,,,,,,,,,"24642",,,,,
"24889","Yes","30 June 2016 - 11:38am EDT","30 June 2016 - 12:26pm EDT","http://usfsc.grscicoll.org/institution/doinps-blue-ridge-parkway","DOI/NPS, Blue Ridge Parkway",,"No","BLRI",,,"www.nps.gov/blri",,,,"http://usfsc.grscicoll.org/cool/2ag2-2p65","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","199 Hemphill Knob",,,"Asheville","NC","28803","USA",,,,,,,,,,"24642",,,,,
"24890","Yes","30 June 2016 - 11:41am EDT","30 June 2016 - 12:25pm EDT","http://usfsc.grscicoll.org/institution/doinps-buck-island-national-monument","DOI/NPS, Buck Island National Monument",,"No","BUIS",,,"www.nps.gov/buis",,,,"http://usfsc.grscicoll.org/cool/get7-v42n","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","2100 Church Street","#100",,"Christiansted","VI","00820","USA",,,,,,,,,,"24642",,,,,
"24891","Yes","30 June 2016 - 11:43am EDT","30 June 2016 - 12:25pm EDT","http://usfsc.grscicoll.org/institution/doinps-cape-hatteras-national-seashore","DOI/NPS, Cape Hatteras National Seashore",,"No","CAHA",,,"www.nps.gov/caha",,,,"http://usfsc.grscicoll.org/cool/7aaw-vc3h","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","1401 National Park Drive",,,"Manteo","NC","27954","USA",,,,,,,,,,"24642",,,,,
"24892","Yes","30 June 2016 - 11:44am EDT","30 June 2016 - 12:24pm EDT","http://usfsc.grscicoll.org/institution/doinps-cape-lookout-national-seashore","DOI/NPS, Cape Lookout National Seashore",,"No","CALO",,,"www.nps.gov/calo",,,,"http://usfsc.grscicoll.org/cool/3kqw-5yj8","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","131 Charles Street",,,"Harkers Island","NC","28531","USA",,,,,,,,,,"24642",,,,,
"24893","Yes","30 June 2016 - 11:46am EDT","30 June 2016 - 12:23pm EDT","http://usfsc.grscicoll.org/institution/doinps-canaveral-national-seashore","DOI/NPS, Canaveral National Seashore",,"No","CANA",,,"www.nps.gov/cana",,,,"http://usfsc.grscicoll.org/cool/17dv-1jmt","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","212 S Washington Avenue",,,"Titusville","FL","32796","USA",,,,,,,,,,"24642",,,,,
"24894","Yes","30 June 2016 - 1:08pm EDT","30 June 2016 - 4:52pm EDT","http://usfsc.grscicoll.org/institution/doinps-cane-river-creole-national-historical-park","DOI/NPS, Cane River Creole National Historical Park",,"No","CARI",,,"www.nps.gov/cari",,,,"http://usfsc.grscicoll.org/cool/9swz-gdp4","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","400 Rapides Drive",,,"Natchitoches","LA","71457","USA",,,,,,,,,,"24642",,,,,
"24895","Yes","30 June 2016 - 3:38pm EDT","30 June 2016 - 4:52pm EDT","http://usfsc.grscicoll.org/institution/doinps-carl-sandburg-home-national-historic-site","DOI/NPS, Carl Sandburg Home National Historic Site",,"No","CARL",,,"www.nps.gov/carl",,,,"http://usfsc.grscicoll.org/cool/ztai-yn0p","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","81 Carl Sandburg Lane",,,"Flat Rock","NC","28731","USA",,,,,,,,,,"24642",,,,,
"24901","Yes","5 July 2016 - 8:57am EDT","5 July 2016 - 12:35pm EDT","http://usfsc.grscicoll.org/institution/doinps-castillo-de-san-marcos-national-monument","DOI/NPS, Castillo de San Marcos National Monument",,"No","CASA",,,"www.nps.gov/casa",,,,"http://usfsc.grscicoll.org/cool/ag54-kaw2","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","1 South Castillo Drive",,,"Saint Augustine","FL","32084","USA",,,,,,,,,,"24642",,,,,
"24902","Yes","5 July 2016 - 10:41am EDT","5 July 2016 - 12:33pm EDT","http://usfsc.grscicoll.org/institution/doinps-chattahoochee-river-national-recreation-area","DOI/NPS, Chattahoochee River National Recreation Area",,"No","CHAT",,,"www.nps.gov/chat",,,,"http://usfsc.grscicoll.org/cool/xa7p-y903","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","1978 Island Ford Parkway",,,"Sandy Springs","GA","30350","USA",,,,,,,,,,"24642",,,,,
"24903","Yes","5 July 2016 - 10:43am EDT","5 July 2016 - 12:33pm EDT","http://usfsc.grscicoll.org/institution/doinps-chickamauga-chattanooga-national-military-park","DOI/NPS, Chickamauga & Chattanooga National Military Park",,"No","CHCH",,,"www.nps.gov/chch",,,,"http://usfsc.grscicoll.org/cool/g9kx-em2j","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","PO Box 2128",,,"Fort Oglethorpe","GA","30742","USA",,,,,,,,,,"24642",,,,,
"24904","Yes","5 July 2016 - 10:45am EDT","5 July 2016 - 12:33pm EDT","http://usfsc.grscicoll.org/institution/doinps-charles-pinckney-national-historic-site","DOI/NPS, Charles Pinckney National Historic Site",,"No","CHPI",,,"www.nps.gov/chpi",,,,"http://usfsc.grscicoll.org/cool/vsmk-mp9x","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","1214 Middle Street",,,"Sullivan's Island","SC","29482","USA",,,,,,,,,,"24642",,,,,
"24905","Yes","5 July 2016 - 10:47am EDT","5 July 2016 - 12:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-christiansted-national-historic-site","DOI/NPS, Christiansted National Historic Site",,"No","CHRI",,,"www.nps.gov/chri",,,,"http://usfsc.grscicoll.org/cool/a7ts-m3qy","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","2100 Church Street #100",,,"Christiansted","VI","00820","USA",,,,,,,,,,"24642",,,,,
"24906","Yes","5 July 2016 - 10:49am EDT","5 July 2016 - 12:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-congaree-national-park","DOI/NPS, Congaree National Park",,"No","CONG",,,"www.nps.gov/cong",,,,"http://usfsc.grscicoll.org/cool/cqxx-dn47","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","100 National Park Road",,,"Hopkins","SC","29061","USA",,,,,,,,,,"24642",,,,,
"24907","Yes","5 July 2016 - 10:51am EDT","5 July 2016 - 12:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-cowpens-national-battlefield","DOI/NPS, Cowpens National Battlefield",,"No","COWP",,,"www.nps.gov/cowp",,,,"http://usfsc.grscicoll.org/cool/jbeq-pwm1","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","338 New Pleasant Road",,,"Gaffney","SC","29341","USA",,,,,,,,,,"24642",,,,,
"24908","Yes","5 July 2016 - 10:53am EDT","5 July 2016 - 12:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-cumberland-gap-national-historical-park","DOI/NPS, Cumberland Gap National Historical Park",,"No","CUGA",,,"www.nps.gov/cuga",,,,"http://usfsc.grscicoll.org/cool/vmxk-yexx","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","91 Bartlett Park Road",,,"Middlesboro","KY","40965","USA",,,,,,,,,,"24642",,,,,
"24909","Yes","5 July 2016 - 10:55am EDT","5 July 2016 - 12:31pm EDT","http://usfsc.grscicoll.org/institution/doinps-cumberland-island-national-seashore","DOI/NPS, Cumberland Island National Seashore",,"No","CUIS",,,"www.nps.gov/cuis",,,,"http://usfsc.grscicoll.org/cool/ffne-4k9n","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","101 Wheeler Street",,,"St. Marys","GA","31558","USA",,,,,,,,,,"24642",,,,,
"24910","Yes","5 July 2016 - 10:58am EDT","5 July 2016 - 12:31pm EDT","http://usfsc.grscicoll.org/institution/doinps-de-soto-national-memorial","DOI/NPS, De Soto National Memorial",,"No","DESO",,,"www.nps.gov/deso",,,,"http://usfsc.grscicoll.org/cool/x7pv-9x6w","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","PO Box 15390",,,"Bradenton","FL","34280","USA",,,,,,,,,,"24642",,,,,
"24911","Yes","5 July 2016 - 11:06am EDT","5 July 2016 - 12:31pm EDT","http://usfsc.grscicoll.org/institution/doinps-dry-tortugas-national-park","DOI/NPS, Dry Tortugas National Park",,"No","DRTO",,,"www.nps.gov/drto",,,,"http://usfsc.grscicoll.org/cool/a88y-qad1","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","40001 SR_9336",,,"Homestead","FL","33034","USA",,,,,,,,,,"24642",,,,,
"24912","Yes","5 July 2016 - 11:07am EDT","5 July 2016 - 12:31pm EDT","http://usfsc.grscicoll.org/institution/doinps-everglades-national-park","DOI/NPS, Everglades National Park",,"No","EVER",,,"www.nps.gov/ever",,,,"http://usfsc.grscicoll.org/cool/zniz-dpfg","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","40001 State Road 9336",,,"Homestead","FL","33034","USA",,,,,,,,,,"24642",,,,,
"24913","Yes","5 July 2016 - 11:12am EDT","5 July 2016 - 12:30pm EDT","http://usfsc.grscicoll.org/institution/doinps-timucuan-ecological-historical-preserve","DOI/NPS, Timucuan Ecological & Historical Preserve",,"No","TIMU",,,"www.nps.gov/timu",,,,"http://usfsc.grscicoll.org/cool/td9h-frdq","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","12713 Fort Caroline Road",,,"Jacksonville","FL","32225","USA",,,,,,,,,,"24642",,,,,
"24914","Yes","5 July 2016 - 11:14am EDT","5 July 2016 - 12:30pm EDT","http://usfsc.grscicoll.org/institution/doinps-fort-donelson-national-battlefield","DOI/NPS, Fort Donelson National Battlefield",,"No","FODO",,,"www.nps.gov/fodo",,,,"http://usfsc.grscicoll.org/cool/m0n6-c9gi","Yes","Public, Federal: General",,"Secondary Contact:  Mary Troy, Southeast Region Museum Services Chief  mary_troy@nps.gov  404-507-5802 (phone)  404-562-3202 (fax)","174 National Cemetery Drive","PO Box 434",,"Dover","TN","37058","USA",,,,,,,,,,"24642",,,,,
